TP9,AF7,AF8,TP10,Right AUX,Color
-24.902,33.203,38.574,12.695,31.738,0
9.766,27.832,37.598,16.602,73.73,0
0.488,36.133,39.551,29.785,21.484,0
142.578,31.25,34.668,67.383,-14.648,0
162.598,32.715,28.32,63.965,39.062,0
145.02,33.691,29.297,68.359,51.27,0
68.848,34.18,33.203,50.293,87.891,0
-76.66,35.645,35.645,-7.812,25.879,0
-47.852,33.691,37.598,-4.395,4.883,0
79.59,31.25,33.203,47.852,-6.836,0
-62.5,33.203,36.621,-9.277,56.641,0
28.809,33.691,34.668,40.527,36.133,0
146.484,36.621,35.645,67.871,20.508,0
37.109,29.297,32.715,37.109,81.543,0
44.922,28.809,35.645,33.203,7.812,0
-77.148,33.691,34.668,-20.508,38.086,0
46.387,34.668,34.18,22.949,-32.227,0
145.996,39.551,36.621,65.918,12.207,0
26.855,36.621,39.551,39.062,-39.551,0
-5.371,34.668,36.621,14.648,44.434,0
-76.66,32.227,35.645,-21.973,-21.484,0
23.438,33.203,36.621,11.719,-3.418,0
146.973,37.598,33.691,64.453,25.879,0
-46.875,35.645,35.645,-10.742,60.059,0
143.066,31.738,32.715,59.082,-24.902,0
65.918,33.691,31.25,26.367,51.27,0
130.859,29.785,34.668,54.199,-20.02,0
-72.754,31.25,34.18,-15.137,68.359,0
-70.312,24.902,38.086,-20.996,2.93,0
-60.059,34.18,38.086,-42.48,-11.23,0
-59.57,34.18,35.156,-32.227,38.574,0
-72.266,30.762,37.598,-39.551,34.18,0
139.648,28.32,31.738,38.574,50.781,0
51.27,29.297,35.645,2.441,-2.441,0
22.461,35.645,33.203,1.953,-13.672,0
-38.086,34.668,37.598,2.441,16.113,0
145.996,36.133,32.715,62.988,35.645,0
-72.754,34.668,38.574,-23.926,-6.348,0
-66.895,34.668,36.621,-8.301,-23.926,0
-53.711,37.598,37.598,-18.555,6.348,0
-69.336,37.598,36.621,1.953,-5.859,0
-52.246,37.598,37.109,9.766,15.625,0
-49.316,35.156,33.691,5.371,34.18,0
101.074,37.109,36.133,66.895,1.953,0
78.613,37.598,39.062,47.852,34.668,0
153.809,36.133,36.621,82.52,47.852,0
131.836,36.133,32.227,71.777,41.016,0
6.836,33.203,32.715,17.09,-5.859,0
73.242,29.785,31.25,40.527,21.973,0
-9.766,29.785,37.109,13.672,-44.434,0
7.324,28.32,37.598,13.672,-58.105,0
-56.152,30.273,39.551,6.836,35.156,0
95.703,35.156,27.344,48.34,54.688,0
-73.242,30.762,34.668,-20.996,-2.93,0
137.695,31.25,34.668,61.035,55.176,0
-70.312,32.715,36.133,0.977,46.387,0
-50.293,34.18,35.156,9.766,35.156,0
-82.52,28.809,39.062,-22.461,28.32,0
126.953,35.645,33.691,57.129,40.527,0
73.242,34.18,36.621,45.41,-18.555,0
98.633,28.809,36.133,40.527,-43.945,0
140.625,31.738,34.668,54.199,37.109,0
94.727,35.645,37.109,28.809,65.918,0
-93.75,32.227,37.109,-31.25,62.988,0
132.324,35.645,44.434,40.039,-7.324,0
